entrada,saida,formato_completo
"72 atrás, 65 pra trás, 17 retroceder, 90 esquerda",72B65B17B90L,"[72 atrás, 65 pra trás, 17 retroceder, 90 esquerda → 72B65B17B90L]"
execute 65 lado direito após isso 71 do lado direito,65R71R,[execute 65 lado direito após isso 71 do lado direito → 65R71R]
"9 em frente, 15 lado direito",9F15R,"[9 em frente, 15 lado direito → 9F15R]"
proceda 27 unidades do lado direito,27R,[proceda 27 unidades do lado direito → 27R]
"movimente 66 cm para a esquerda, após isso 16 cm frente",66L16F,"[movimente 66 cm para a esquerda, após isso 16 cm frente → 66L16F]"
"faça 77 passos pra direita, depois 18 passos lado direito e por fim 47 passos em frente",77R18R47F,"[faça 77 passos pra direita, depois 18 passos lado direito e por fim 47 passos em frente → 77R18R47F]"
mova-se 78 para em frente e 39 para direita,78F39R,[mova-se 78 para em frente e 39 para direita → 78F39R]
"54 para direita, 30 para frente",54R30F,"[54 para direita, 30 para frente → 54R30F]"
movimente 13 mm à frente,13F,[movimente 13 mm à frente → 13F]
"97 frente, 35 à direita, 46 em frente",97F35R46F,"[97 frente, 35 à direita, 46 em frente → 97F35R46F]"
mova-se 55 mm para esquerda,55L,[mova-se 55 mm para esquerda → 55L]
"faça 67 mm frente, depois 48 mm lado direito e por fim 47 mm do lado direito",67F48R47R,"[faça 67 mm frente, depois 48 mm lado direito e por fim 47 mm do lado direito → 67F48R47R]"
"faça 12 cm para frente, então 75 cm pra esquerda",12F75L,"[faça 12 cm para frente, então 75 cm pra esquerda → 12F75L]"
"movimente 15 cm à esquerda, após isso 5 cm para esquerda",15L5L,"[movimente 15 cm à esquerda, após isso 5 cm para esquerda → 15L5L]"
"71 direita, 71 para atrás",71R71B,"[71 direita, 71 para atrás → 71R71B]"
execute movimento de 55 mm atrás,55B,[execute movimento de 55 mm atrás → 55B]
"movimente 86 centímetros avante, após isso 29 centímetros do lado direito",86F29R,"[movimente 86 centímetros avante, após isso 29 centímetros do lado direito → 86F29R]"
"realize movimento triplo: 36 frente, 46 esquerda, 34 em frente",36F46L34F,"[realize movimento triplo: 36 frente, 46 esquerda, 34 em frente → 36F46L34F]"
"execute sequência: 93 pra frente, 88 pra direita, 60 para trás",93F88R60B,"[execute sequência: 93 pra frente, 88 pra direita, 60 para trás → 93F88R60B]"
"faça 1 m para trás, depois 37 m em frente e por fim 50 m direita",1B37F50R,"[faça 1 m para trás, depois 37 m em frente e por fim 50 m direita → 1B37F50R]"
execute movimento de 62 centímetro para a direita,62R,[execute movimento de 62 centímetro para a direita → 62R]
desloque 29 cm para frente,29F,[desloque 29 cm para frente → 29F]
proceda 10 centímetro esquerda,10L,[proceda 10 centímetro esquerda → 10L]
desloque 45 mm para atrás,45B,[desloque 45 mm para atrás → 45B]
avance 80 para direita e 20 para frente,80R20F,[avance 80 para direita e 20 para frente → 80R20F]
"execute sequência: 69 recuar, 10 para frente, 92 do lado direito",69B10F92R,"[execute sequência: 69 recuar, 10 para frente, 92 do lado direito → 69B10F92R]"
"desloca 96 para direito, 11 para voltar e 23 para adiante",96R11B23F,"[desloca 96 para direito, 11 para voltar e 23 para adiante → 96R11B23F]"
mova-se pra frente 68 metros,68F,[mova-se pra frente 68 metros → 68F]
mova 2 centimetro para direita,2R,[mova 2 centimetro para direita → 2R]
"movimente 85 m atrás, após isso 31 m para esquerda",85B31L,"[movimente 85 m atrás, após isso 31 m para esquerda → 85B31L]"
movimente 43 unidades pra frente,43F,[movimente 43 unidades pra frente → 43F]
execute movimento de 31 unidades esquerda,31L,[execute movimento de 31 unidades esquerda → 31L]
"execute 40 para a direita, 75 pra direita, 91 para direita e 64 lado esquerdo",40R75R91R64L,"[execute 40 para a direita, 75 pra direita, 91 para direita e 64 lado esquerdo → 40R75R91R64L]"
realize movimento de 71 recuar seguido de 57 para frente,71B57F,[realize movimento de 71 recuar seguido de 57 para frente → 71B57F]
realize deslocamento de 39 centímetro em frente,39F,[realize deslocamento de 39 centímetro em frente → 39F]
"movimente 11 passos pra esquerda, após isso 57 passos à frente",11L57F,"[movimente 11 passos pra esquerda, após isso 57 passos à frente → 11L57F]"
caminhe 52 centímetros pra trás e 4 centímetros à frente,52B4F,[caminhe 52 centímetros pra trás e 4 centímetros à frente → 52B4F]
dirija-se em direção a a esquerda 80 m,80L,[dirija-se em direção a a esquerda 80 m → 80L]
42 milímetros na direção na frente,42F,[42 milímetros na direção na frente → 42F]
avance 89 centimetros para direita e 9 centimetros atrás,89R9B,[avance 89 centimetros para direita e 9 centimetros atrás → 89R9B]
"realize movimento triplo: 99 para a esquerda, 27 trás, 22 pra frente",99L27B22F,"[realize movimento triplo: 99 para a esquerda, 27 trás, 22 pra frente → 99L27B22F]"
"34 para a direita, 65 à direita",34R65R,"[34 para a direita, 65 à direita → 34R65R]"
dirija-se pra frente 82 cm,82F,[dirija-se pra frente 82 cm → 82F]
"faça 55 centimetros esquerda, depois 76 centimetros do lado direito e por fim 47 centimetros lado esquerdo",55L76R47L,"[faça 55 centimetros esquerda, depois 76 centimetros do lado direito e por fim 47 centimetros lado esquerdo → 55L76R47L]"
"navegue 89 para atrás, 42 avante e 31 para trás",89B42F31B,"[navegue 89 para atrás, 42 avante e 31 para trás → 89B42F31B]"
dirija-se 40 milímetros à direita e 35 milímetros retroceder,40R35B,[dirija-se 40 milímetros à direita e 35 milímetros retroceder → 40R35B]
"faça 22 centímetro na frente, depois 3 centímetro para atrás e por fim 28 centímetro à frente",22F3B28F,"[faça 22 centímetro na frente, depois 3 centímetro para atrás e por fim 28 centímetro à frente → 22F3B28F]"
faça movimento para trás de 56 metros,56B,[faça movimento para trás de 56 metros → 56B]
siga 62centimetro pra frente,62F,[siga 62centimetro pra frente → 62F]
navegue 62 metros pra frente,62F,[navegue 62 metros pra frente → 62F]
mova 59 centímetros para esquerda,59L,[mova 59 centímetros para esquerda → 59L]
"91 do lado esquerdo, 30 para a direita",91L30R,"[91 do lado esquerdo, 30 para a direita → 91L30R]"
vá 86 do lado esquerdo,86L,[vá 86 do lado esquerdo → 86L]
"40 para frente, 78 na frente",40F78F,"[40 para frente, 78 na frente → 40F78F]"
realize deslocamento de 47 cm em frente,47F,[realize deslocamento de 47 cm em frente → 47F]
"faça 73 metros para a direita, depois 96 metros recuar e por fim 42 metros à frente",73R96B42F,"[faça 73 metros para a direita, depois 96 metros recuar e por fim 42 metros à frente → 73R96B42F]"
movimente-se 40centímetro do lado direito,40R,[movimente-se 40centímetro do lado direito → 40R]
realize movimento de 15 à direita seguido de 74 para frente,15R74F,[realize movimento de 15 à direita seguido de 74 para frente → 15R74F]
"primeiro 23 para direita, depois 70 à esquerda",23R70L,"[primeiro 23 para direita, depois 70 à esquerda → 23R70L]"
desloque-se 69 centimetro lado direito depois 48 centimetro para a esquerda,69R48L,[desloque-se 69 centimetro lado direito depois 48 centimetro para a esquerda → 69R48L]
"primeiro 14 do lado direito, depois 19 retroceder",14R19B,"[primeiro 14 do lado direito, depois 19 retroceder → 14R19B]"
vai em direção a direita 9 centímetro,9R,[vai em direção a direita 9 centímetro → 9R]
faça movimento para a esquerda de 76 m,76L,[faça movimento para a esquerda de 76 m → 76L]
"execute 54 atrás, 26 retroceder, 15 recuar e 5 trás",54B26B15B5B,"[execute 54 atrás, 26 retroceder, 15 recuar e 5 trás → 54B26B15B5B]"
"movimente 34 mm em frente, após isso 24 mm para trás",34F24B,"[movimente 34 mm em frente, após isso 24 mm para trás → 34F24B]"
44 m à direita,44R,[44 m à direita → 44R]
"realize movimento triplo: 67 na frente, 56 lado esquerdo, 40 trás",67F56L40B,"[realize movimento triplo: 67 na frente, 56 lado esquerdo, 40 trás → 67F56L40B]"
avance rumo a frente 5 cm,5F,[avance rumo a frente 5 cm → 5F]
"71 para atrás, 7 à esquerda, 56 à frente, 14 para direita",71B7L56F14R,"[71 para atrás, 7 à esquerda, 56 à frente, 14 para direita → 71B7L56F14R]"
"primeiro 19 para a esquerda, depois 9 pra direita",19L9R,"[primeiro 19 para a esquerda, depois 9 pra direita → 19L9R]"
movimente 73 m para esquerda,73L,[movimente 73 m para esquerda → 73L]
desloca 74cm recuar,74B,[desloca 74cm recuar → 74B]
mova em direção à na frente 1 m,1F,[mova em direção à na frente 1 m → 1F]
execute movimento de 91 unidades à esquerda,91L,[execute movimento de 91 unidades à esquerda → 91L]
prossiga 18 m lado esquerdo,18L,[prossiga 18 m lado esquerdo → 18L]
caminha 27 para frente e 1 para trás,27F1B,[caminha 27 para frente e 1 para trás → 27F1B]
"primeiro 33 para esquerda, então 77 avante, finalmente 12 do lado direito",33L77F12R,"[primeiro 33 para esquerda, então 77 avante, finalmente 12 do lado direito → 33L77F12R]"
proceda 68 metros trás,68B,[proceda 68 metros trás → 68B]
execute 58 para trás em seguida 17 lado direito,58B17R,[execute 58 para trás em seguida 17 lado direito → 58B17R]
vá 89m voltar,89B,[vá 89m voltar → 89B]
"vai 35 esquerda, 57 frente e 70 adiante",35L57F70F,"[vai 35 esquerda, 57 frente e 70 adiante → 35L57F70F]"
execute movimento de 75 milímetros frente,75F,[execute movimento de 75 milímetros frente → 75F]
"execute 17 lado esquerdo, 79 adiante, 24 para esquerda e 69 para trás",17L79F24L69B,"[execute 17 lado esquerdo, 79 adiante, 24 para esquerda e 69 para trás → 17L79F24L69B]"
"execute sequência: 63 para atrás, 31 para a direita, 89 lado direito",63B31R89R,"[execute sequência: 63 para atrás, 31 para a direita, 89 lado direito → 63B31R89R]"
move 27 mm lado esquerdo,27L,[move 27 mm lado esquerdo → 27L]
"movimente 3 cm para esquerda, após isso 33 cm trás",3L33B,"[movimente 3 cm para esquerda, após isso 33 cm trás → 3L33B]"
desloque-se 79 para esquerda e depois 26 avante,79L26F,[desloque-se 79 para esquerda e depois 26 avante → 79L26F]
"mova-se 4 para esquerda, 97 para adiante e 56 para retroceder",4L97F56B,"[mova-se 4 para esquerda, 97 para adiante e 56 para retroceder → 4L97F56B]"
move 93 centímetro voltar,93B,[move 93 centímetro voltar → 93B]
"91 na frente, 67 pra trás, 74 para atrás",91F67B74B,"[91 na frente, 67 pra trás, 74 para atrás → 91F67B74B]"
caminha do lado direito 88 centimetros,88R,[caminha do lado direito 88 centimetros → 88R]
execute movimento de 32 milímetros trás,32B,[execute movimento de 32 milímetros trás → 32B]
mova 82 centimetros para retroceder,82B,[mova 82 centimetros para retroceder → 82B]
prossiga em direção à a direita 8 mm,8R,[prossiga em direção à a direita 8 mm → 8R]
desloque-se 70 milímetros adiante,70F,[desloque-se 70 milímetros adiante → 70F]
vá 77 centímetro atrás,77B,[vá 77 centímetro atrás → 77B]
execute movimento de 39 milímetros lado direito,39R,[execute movimento de 39 milímetros lado direito → 39R]
"caminha 93 à esquerda, 79 do lado direito e 20 atrás",93L79R20B,"[caminha 93 à esquerda, 79 do lado direito e 20 atrás → 93L79R20B]"
execute 91 do lado direito em seguida 67 adiante,91R67F,[execute 91 do lado direito em seguida 67 adiante → 91R67F]
"realize movimento triplo: 62 à direita, 57 lado direito, 45 à frente",62R57R45F,"[realize movimento triplo: 62 à direita, 57 lado direito, 45 à frente → 62R57R45F]"
realize deslocamento de 93 cm para esquerda,93L,[realize deslocamento de 93 cm para esquerda → 93L]
movimente-se 23 passos para na frente,23F,[movimente-se 23 passos para na frente → 23F]
desloque 16 m à frente,16F,[desloque 16 m à frente → 16F]
movimente-se em direção à direita 16 centimetro,16R,[movimente-se em direção à direita 16 centimetro → 16R]
navegue na frente 80 centimetros,80F,[navegue na frente 80 centimetros → 80F]
"primeiro 24 recuar, depois 16 à frente",24B16F,"[primeiro 24 recuar, depois 16 à frente → 24B16F]"
execute movimento de 25 centímetros para direita,25R,[execute movimento de 25 centímetros para direita → 25R]
94 passos recuar,94B,[94 passos recuar → 94B]
mova 80 centimetro pra direita,80R,[mova 80 centimetro pra direita → 80R]
desloque 54 metros para a esquerda,54L,[desloque 54 metros para a esquerda → 54L]
"movimente 58 centímetro na frente, após isso 25 centímetro para a esquerda",58F25L,"[movimente 58 centímetro na frente, após isso 25 centímetro para a esquerda → 58F25L]"
mova 51 passos em frente e 58 passos para atrás,51F58B,[mova 51 passos em frente e 58 passos para atrás → 51F58B]
vá 17 avante,17F,[vá 17 avante → 17F]
realize deslocamento de 27 cm retroceder,27B,[realize deslocamento de 27 cm retroceder → 27B]
desloque-se 88 à frente e posteriormente 86 pra esquerda,88F86L,[desloque-se 88 à frente e posteriormente 86 pra esquerda → 88F86L]
"primeiro 67 lado direito, depois 60 atrás",67R60B,"[primeiro 67 lado direito, depois 60 atrás → 67R60B]"
prossiga 90 milímetros frente e 72 milímetros atrás,90F72B,[prossiga 90 milímetros frente e 72 milímetros atrás → 90F72B]
"34 centimetro rumo a frente, 2 centimetro rumo a esquerdo",34F2L,"[34 centimetro rumo a frente, 2 centimetro rumo a esquerdo → 34F2L]"
realize movimento de 28 à frente seguido de 54 lado direito,28F54R,[realize movimento de 28 à frente seguido de 54 lado direito → 28F54R]
execute 75 à frente então 57 à esquerda,75F57L,[execute 75 à frente então 57 à esquerda → 75F57L]
71 mm adiante,71F,[71 mm adiante → 71F]
move 33 passos à frente depois 96 passos recuar,33F96B,[move 33 passos à frente depois 96 passos recuar → 33F96B]
vai 24passos à esquerda,24L,[vai 24passos à esquerda → 24L]
"realize movimento triplo: 74 lado direito, 84 do lado direito, 20 na frente",74R84R20F,"[realize movimento triplo: 74 lado direito, 84 do lado direito, 20 na frente → 74R84R20F]"
navegue 95 centímetro do lado direito em seguida 30 centímetro para a direita,95R30R,[navegue 95 centímetro do lado direito em seguida 30 centímetro para a direita → 95R30R]
navegue 21centímetros para a esquerda,21L,[navegue 21centímetros para a esquerda → 21L]
navegue 27 centímetro para avante,27F,[navegue 27 centímetro para avante → 27F]
locomova-se 2 à frente e depois 37 retroceder,2F37B,[locomova-se 2 à frente e depois 37 retroceder → 2F37B]
mova 93 mm voltar,93B,[mova 93 mm voltar → 93B]
"execute sequência: 18 direita, 77 à esquerda, 92 pra direita",18R77L92R,"[execute sequência: 18 direita, 77 à esquerda, 92 pra direita → 18R77L92R]"
"22 unidades rumo a esquerda, 79 unidades rumo a recuar",22L79B,"[22 unidades rumo a esquerda, 79 unidades rumo a recuar → 22L79B]"
vá 22 lado direito,22R,[vá 22 lado direito → 22R]
desloque 93 mm recuar,93B,[desloque 93 mm recuar → 93B]
realize deslocamento de 69 centimetro pra esquerda,69L,[realize deslocamento de 69 centimetro pra esquerda → 69L]
proceda 100 cm para frente,100F,[proceda 100 cm para frente → 100F]
3 centimetro na direção em frente,3F,[3 centimetro na direção em frente → 3F]
36 unidades na direção adiante,36F,[36 unidades na direção adiante → 36F]
desloque-se 5 adiante e posteriormente 27 do lado direito,5F27R,[desloque-se 5 adiante e posteriormente 27 do lado direito → 5F27R]
caminha 28 m para trás,28B,[caminha 28 m para trás → 28B]
realize movimento de 96 para direita seguido de 85 na frente,96R85F,[realize movimento de 96 para direita seguido de 85 na frente → 96R85F]
desloque-se 19 atrás e posteriormente 7 em frente,19B7F,[desloque-se 19 atrás e posteriormente 7 em frente → 19B7F]
89 centimetro na direção direita,89R,[89 centimetro na direção direita → 89R]
move 97 para a direita e depois 88 lado direito,97R88R,[move 97 para a direita e depois 88 lado direito → 97R88R]
realize deslocamento de 32 m esquerda,32L,[realize deslocamento de 32 m esquerda → 32L]
caminhe 7 mm pra frente então 9 mm trás então 46 mm retroceder,7F9B46B,[caminhe 7 mm pra frente então 9 mm trás então 46 mm retroceder → 7F9B46B]
desloque-se 27m frente,27F,[desloque-se 27m frente → 27F]
"faça 21 centímetros para a direita, então 97 centímetros direita",21R97R,"[faça 21 centímetros para a direita, então 97 centímetros direita → 21R97R]"
